A_TOTAL_(m2),N_HABITACIONES,N_BAÑOS,N_ASEOS,TIENE_LAVADERO,TIENE_ENTRADA,A_SALON,A_COCINA,A_DORM1,A_DORM2,A_DORM3,A_DORM4,A_DORM5,A_DORM6,TOTAL_A_HABITACIONES,A_BAÑO1,A_BAÑO2,A_BAÑO3,A_BAÑO4,TOTAL_A_BAÑOS,A_ASEO,A_ENTRADA,A_PASILLO,A_LAVADERO
65.92,2,2,0,False,False,25.336,6.334,13.11,10.53,0.0,0.0,0.0,0.0,23.64,3.25,2.96,0.0,0.0,6.21,0.0,0.0,4.4,0.0
65.94,2,2,0,True,True,21.592,5.398,12.71,9.67,0.0,0.0,0.0,0.0,22.380000000000003,3.57,3.15,0.0,0.0,6.72,0.0,3.5,5.33,1.02
65.95,2,2,0,False,True,22.44,5.61,12.4,10.25,0.0,0.0,0.0,0.0,22.65,3.85,3.4,0.0,0.0,7.25,0.0,6.3,1.7,0.0
66.0,2,2,0,False,True,19.5,6.1,13.4,11.1,0.0,0.0,0.0,0.0,24.5,4.2,4.2,0.0,0.0,8.4,0.0,5.2,2.3,0.0
66.1,2,2,0,False,True,21.6,8.8,12.9,9.3,0.0,0.0,0.0,0.0,22.200000000000003,3.7,3.3,0.0,0.0,7.0,0.0,4.1,2.4,0.0
66.27,2,1,0,True,True,17.5,7.81,12.23,9.11,0.0,0.0,0.0,0.0,21.34,5.62,0.0,0.0,0.0,5.62,0.0,6.35,5.76,1.89
66.55,3,1,1,False,True,18.81,10.02,10.11,7.38,7.34,0.0,0.0,0.0,24.83,3.6,0.0,0.0,0.0,3.6,2.18,3.42,3.69,0.0
66.62,3,2,0,False,True,18.38,7.42,11.59,9.1,8.04,0.0,0.0,0.0,28.729999999999997,3.52,2.65,0.0,0.0,6.17,0.0,2.26,3.66,0.0
66.63,3,2,0,False,True,18.6,7.42,11.61,8.9,8.34,0.0,0.0,0.0,28.849999999999998,3.58,2.45,0.0,0.0,6.03,0.0,2.26,3.47,0.0
66.65,2,2,0,False,True,22.01,9.37,11.65,9.87,0.0,0.0,0.0,0.0,21.52,4.42,3.87,0.0,0.0,8.29,0.0,3.03,2.43,0.0
66.73,2,1,0,False,True,18.87,12.17,12.54,9.13,0.0,0.0,0.0,0.0,21.67,4.63,0.0,0.0,0.0,4.63,0.0,6.61,2.78,0.0
66.74,2,2,0,True,True,18.79,8.93,14.28,9.47,0.0,0.0,0.0,0.0,23.75,4.52,3.77,0.0,0.0,8.29,0.0,2.69,2.3,1.99
